Club ,Home ,Away,Neutral,Violent disorder,Public disorder,Throwing missiles,Racist and indecent chanting,Pitch incursion,Alcohol offences,Ticket touting,Possession of an offensive weapon,Possession of pyrotechnics,Breach of banning order ,Offences against the property,Total,% of total (including British Transport Police)
Arsenal,28,26,0,12,19,2,0,2,13,0,0,4,1,1,54,7%
Aston Villa,21,45,6,3,38,0,1,2,18,0,0,4,1,5,72,9%
Burnley,11,12,0,3,7,2,0,1,9,0,0,1,0,0,23,3%
Chelsea,46,18,1,14,22,4,0,4,14,3,0,1,0,3,65,8%
Crystal Palace,8,2,0,3,1,1,0,2,3,0,0,0,0,0,10,1%
Everton,7,10,1,3,1,2,0,2,5,2,0,3,0,0,18,2%
Hull City,6,10,0,4,7,1,0,1,3,0,0,0,0,0,16,2%
Leicester City,29,26,1,6,27,2,0,0,7,1,1,7,4,1,56,7%
Liverpool,13,12,2,5,2,2,2,4,10,1,0,0,0,1,27,3%
Manchester City,17,24,0,5,7,0,2,6,15,0,0,4,1,1,41,5%
Manchester United,39,46,0,13,24,4,0,8,27,4,0,2,1,2,85,11%
Newcastle United,28,29,0,11,21,2,0,2,18,0,0,2,1,0,57,7%
Queens Park Rangers,2,9,0,6,3,0,0,0,2,0,0,0,0,0,11,1%
Southampton,5,5,0,2,2,1,0,1,3,0,0,1,0,0,10,1%
Stoke City,6,28,0,3,12,1,2,1,12,0,0,2,1,0,34,4%
Sunderland,38,34,0,4,28,0,2,10,20,0,0,1,3,4,72,9%
Swansea City,2,18,0,3,10,0,0,3,3,0,0,1,0,0,20,3%
Tottenham Hotspur,11,20,5,12,13,1,0,4,5,0,0,1,0,0,36,5%
West Bromwich Albion,3,32,0,6,18,0,0,2,8,0,0,0,0,1,35,5%
West Ham United,12,17,1,7,11,2,0,3,6,0,0,1,0,0,30,4%
Total (including BTP),332,423,17,125,273,27,9,58,201,11,1,35,13,19,772,100%
Total (excluding BTP arrests),285,346,3,92,195,27,9,58,177,11,1,34,11,19,634,
% of total excluding BTP ,86%,82%,18%,74%,71%,100%,100%,100%,88%,100%,100%,97%,85%,100%,82%,
BTP arrests only,47,77,14,33,78,0,0,0,24,0,0,1,2,0,138,
% of BTP arrests,14%,18%,82%,26%,29%,0%,0%,0%,12%,0%,0%,3%,15%,0%,18%,
,,,,,,,,,,,,,,,,
Source: Home Office ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
"1.  Figures include all regulated football matches involving teams from, or representing, England and Wales.",,,,,,,,,,,,,,,,
2. Figures include arrests recorded by the British Transport Police (BTP). ,,,,,,,,,,,,,,,,
"3. Figures include arrests for competitions outside of the Premier League, e.g. a Premier League club playing in the FA cup. ",,,,,,,,,,,,,,,,
